datetime,high
2017-12-05,11850.0
2017-12-06,13700.0
2017-12-07,16615.62
2017-12-08,16666.66
2017-12-09,15998.5
2017-12-10,15385.0
2017-12-11,17270.0
2017-12-12,17428.42
2017-12-13,17107.03
2017-12-14,16830.45
2017-12-15,17934.0
2017-12-16,19377.0
2017-12-17,19666.0
2017-12-18,19220.0
2017-12-19,19160.79
2017-12-20,17950.0
2017-12-21,17281.17
2017-12-22,15795.61
2017-12-23,15756.22
2017-12-24,14619.1
2017-12-25,14650.0
2017-12-26,16147.87
2017-12-27,16480.52
2017-12-28,15474.19
2017-12-29,15111.0
2017-12-30,14463.28
2017-12-31,14296.06
2018-01-01,13941.75
2018-01-02,15257.53
2018-01-03,15500.0
2018-01-04,15430.27
2018-01-05,17200.0
2018-01-06,17234.99
2018-01-07,17149.97
2018-01-08,16300.0
2018-01-09,15367.18
2018-01-10,14900.0
2018-01-11,14973.07
2018-01-12,14152.19
2018-01-13,14619.1
2018-01-14,14365.81
2018-01-15,14394.36
2018-01-16,13607.04
2018-01-17,11794.07
2018-01-18,12146.0
2018-01-19,12050.39
2018-01-20,13052.12
2018-01-21,12791.88
2018-01-22,11910.78
2018-01-23,11409.87
2018-01-24,11500.0
2018-01-25,11741.82
2018-01-26,11635.0
2018-01-27,11630.47
2018-01-28,11989.15
2018-01-29,11820.01
2018-01-30,11222.36
2018-01-31,10324.0
2018-02-01,10187.56
2018-02-02,9096.79
2018-02-03,9491.2
2018-02-04,9350.09
2018-02-05,8335.56
2018-02-06,8150.0
2018-02-07,8649.0
2018-02-08,8644.36
2018-02-09,8779.62
2018-02-10,9090.8
2018-02-11,8560.0
2018-02-12,8995.0
2018-02-13,8951.89
2018-02-14,9515.0
2018-02-15,10234.0
2018-02-16,10300.0
2018-02-17,11135.83
2018-02-18,11300.0
2018-02-19,11262.48
2018-02-20,11780.0
2018-02-21,11275.74
2018-02-22,10935.0
2018-02-23,10405.3
2018-02-24,10540.63
2018-02-25,9883.41
2018-02-26,10461.97
2018-02-27,10850.0
2018-02-28,11064.75
2018-03-01,11090.0
2018-03-02,11175.0
2018-03-03,11503.24
2018-03-04,11511.0
2018-03-05,11688.0
2018-03-06,11420.01
2018-03-07,10911.78
2018-03-08,10150.0
2018-03-09,9420.39
2018-03-10,9514.96
2018-03-11,9768.37
2018-03-12,9892.0
2018-03-13,9482.79
2018-03-14,9356.14
2018-03-15,8425.0
2018-03-16,8613.06
2018-03-17,8356.4
2018-03-18,8324.92
2018-03-19,8718.74
2018-03-20,9051.0
2018-03-21,9188.1
2018-03-22,9099.59
2018-03-23,8920.79
2018-03-24,9020.0
2018-03-25,8680.0
2018-03-26,8500.0
2018-03-27,8211.62
2018-03-28,8104.98
2018-03-29,7968.0
2018-03-30,7302.35
2018-03-31,7231.73
2018-04-01,7045.71
2018-04-02,7106.5
2018-04-03,7506.84
2018-04-04,7430.0
2018-04-05,6928.7
2018-04-06,6850.0
2018-04-07,7069.13
2018-04-08,7104.52
2018-04-09,7175.83
2018-04-10,6900.0
2018-04-11,6984.92
2018-04-12,8069.34
2018-04-13,8239.33
2018-04-14,8232.14
2018-04-15,8417.0
2018-04-16,8424.99
2018-04-17,8160.85
2018-04-18,8235.0
2018-04-19,8297.99
2018-04-20,8934.0
2018-04-21,9023.4
2018-04-22,9036.52
2018-04-23,9006.39
2018-04-24,9737.16
2018-04-25,9755.53
2018-04-26,9326.79
2018-04-27,9387.82
2018-04-28,9442.34
2018-04-29,9538.75
2018-04-30,9443.96
2018-05-01,9249.99
2018-05-02,9259.16
2018-05-03,9799.99
2018-05-04,9784.73
2018-05-05,9948.98
2018-05-06,9918.41
2018-05-07,9634.5
2018-05-08,9450.0
2018-05-09,9368.79
2018-05-10,9393.0
2018-05-11,9020.99
2018-05-12,8652.8
2018-05-13,8775.9
2018-05-14,8900.9
2018-05-15,8865.0
2018-05-16,8505.33
2018-05-17,8500.0
2018-05-18,8275.1
2018-05-19,8395.0
2018-05-20,8590.0
2018-05-21,8589.1
2018-05-22,8417.65
2018-05-23,8032.01
2018-05-24,7733.99
2018-05-25,7661.07
2018-05-26,7622.87
2018-05-27,7412.57
2018-05-28,7445.0
2018-05-29,7537.0
2018-05-30,7559.0
2018-05-31,7601.23
2018-06-01,7620.01
2018-06-02,7700.0
2018-06-03,7790.69
2018-06-04,7764.44
2018-06-05,7685.0
2018-06-06,7695.46
2018-06-07,7750.0
2018-06-08,7697.0
2018-06-09,7686.45
2018-06-10,7498.0
2018-06-11,6919.97
2018-06-12,6880.76
2018-06-13,6624.45
2018-06-14,6708.1
2018-06-15,6666.66
2018-06-16,6557.81
2018-06-17,6575.35
2018-06-18,6793.0
2018-06-19,6841.81
2018-06-20,6809.26
2018-06-21,6792.2
2018-06-22,6737.97
2018-06-23,6261.0
2018-06-24,6255.05
2018-06-25,6365.34
2018-06-26,6277.0
2018-06-27,6181.11
2018-06-28,6165.49
2018-06-29,6299.0
2018-06-30,6510.0
2018-07-01,6438.55
2018-07-02,6667.57
2018-07-03,6666.0
2018-07-04,6792.28
2018-07-05,6700.0
2018-07-06,6636.15
2018-07-07,6820.0
2018-07-08,6783.54
2018-07-09,6814.72
2018-07-10,6683.9
2018-07-11,6400.0
2018-07-12,6380.0
2018-07-13,6337.25
2018-07-14,6317.84
2018-07-15,6397.21
2018-07-16,6755.0
2018-07-17,7468.31
2018-07-18,7599.98
2018-07-19,7570.9
2018-07-20,7696.88
2018-07-21,7458.0
2018-07-22,7581.03
2018-07-23,7800.0
2018-07-24,8496.96
2018-07-25,8475.0
2018-07-26,8314.23
2018-07-27,8274.98
2018-07-28,8259.0
2018-07-29,8299.99
2018-07-30,8295.0
2018-07-31,8162.37
2018-08-01,7761.56
2018-08-02,7709.98
2018-08-03,7542.92
2018-08-04,7494.48
2018-08-05,7086.8
2018-08-06,7157.93
2018-08-07,7155.0
2018-08-08,6717.68
2018-08-09,6627.0
2018-08-10,6584.05
2018-08-11,6494.13
2018-08-12,6493.77
2018-08-13,6544.37
2018-08-14,6254.02
2018-08-15,6628.5
2018-08-16,6477.57
2018-08-17,6584.49
2018-08-18,6615.0
2018-08-19,6545.0
2018-08-20,6522.99
2018-08-21,6513.28
2018-08-22,6906.81
2018-08-23,6575.99
